Date/Time,Posts,Cumulative
2026-01-06T17:00:00.000Z,0,0
2026-01-06T18:00:00.000Z,4,4
2026-01-06T19:00:00.000Z,1,5
2026-01-06T20:00:00.000Z,0,5
2026-01-06T21:00:00.000Z,10,15
2026-01-06T22:00:00.000Z,5,20
2026-01-06T23:00:00.000Z,2,22
2026-01-07T00:00:00.000Z,0,22
2026-01-07T01:00:00.000Z,1,23
2026-01-07T02:00:00.000Z,1,24
2026-01-07T03:00:00.000Z,0,24
2026-01-07T04:00:00.000Z,0,24
2026-01-07T05:00:00.000Z,0,24
2026-01-07T06:00:00.000Z,10,34
2026-01-07T07:00:00.000Z,1,35
2026-01-07T08:00:00.000Z,0,35
2026-01-07T09:00:00.000Z,0,35
2026-01-07T10:00:00.000Z,0,35
2026-01-07T11:00:00.000Z,0,35
2026-01-07T12:00:00.000Z,11,46
2026-01-07T13:00:00.000Z,15,61
2026-01-07T14:00:00.000Z,5,66
2026-01-07T15:00:00.000Z,0,66
2026-01-07T16:00:00.000Z,6,72
2026-01-07T17:00:00.000Z,25,97
2026-01-07T18:00:00.000Z,2,99
2026-01-07T19:00:00.000Z,6,105
2026-01-07T20:00:00.000Z,0,105
2026-01-07T21:00:00.000Z,0,105
2026-01-07T22:00:00.000Z,0,105
2026-01-07T23:00:00.000Z,0,105
2026-01-08T00:00:00.000Z,0,105
2026-01-08T01:00:00.000Z,0,105
2026-01-08T02:00:00.000Z,0,105
2026-01-08T03:00:00.000Z,1,106
2026-01-08T04:00:00.000Z,0,106
2026-01-08T05:00:00.000Z,1,107
2026-01-08T06:00:00.000Z,2,109
2026-01-08T07:00:00.000Z,12,121
2026-01-08T08:00:00.000Z,1,122
2026-01-08T09:00:00.000Z,0,122
2026-01-08T10:00:00.000Z,0,122
2026-01-08T11:00:00.000Z,0,122
2026-01-08T12:00:00.000Z,0,122
2026-01-08T13:00:00.000Z,7,129
2026-01-08T14:00:00.000Z,15,144
2026-01-08T15:00:00.000Z,21,165
2026-01-08T16:00:00.000Z,16,181
2026-01-08T17:00:00.000Z,12,193
2026-01-08T18:00:00.000Z,11,204
2026-01-08T19:00:00.000Z,3,207
2026-01-08T20:00:00.000Z,0,207
2026-01-08T21:00:00.000Z,2,209
2026-01-08T22:00:00.000Z,5,214
2026-01-08T23:00:00.000Z,0,214
2026-01-09T00:00:00.000Z,0,214
2026-01-09T01:00:00.000Z,0,214
2026-01-09T02:00:00.000Z,0,214
2026-01-09T03:00:00.000Z,0,214
2026-01-09T04:00:00.000Z,0,214
2026-01-09T05:00:00.000Z,0,214
2026-01-09T06:00:00.000Z,0,214
2026-01-09T07:00:00.000Z,0,214
2026-01-09T08:00:00.000Z,49,263
2026-01-09T09:00:00.000Z,3,266
2026-01-09T10:00:00.000Z,0,266
2026-01-09T11:00:00.000Z,0,266
2026-01-09T12:00:00.000Z,0,266
2026-01-09T13:00:00.000Z,0,266
2026-01-09T14:00:00.000Z,0,266
2026-01-09T15:00:00.000Z,0,266
2026-01-09T16:00:00.000Z,8,274
2026-01-09T17:00:00.000Z,0,274
2026-01-09T18:00:00.000Z,0,274
2026-01-09T19:00:00.000Z,4,278
2026-01-09T20:00:00.000Z,7,285
2026-01-09T21:00:00.000Z,0,285
2026-01-09T22:00:00.000Z,0,285
2026-01-09T23:00:00.000Z,4,289
2026-01-10T00:00:00.000Z,11,300
2026-01-10T01:00:00.000Z,1,301
2026-01-10T02:00:00.000Z,0,301
2026-01-10T03:00:00.000Z,0,301
2026-01-10T04:00:00.000Z,13,314
2026-01-10T05:00:00.000Z,19,333
2026-01-10T06:00:00.000Z,5,338
2026-01-10T07:00:00.000Z,0,338
2026-01-10T08:00:00.000Z,0,338
2026-01-10T09:00:00.000Z,0,338
2026-01-10T10:00:00.000Z,0,338
2026-01-10T11:00:00.000Z,0,338
2026-01-10T12:00:00.000Z,5,343
2026-01-10T13:00:00.000Z,19,362
2026-01-10T14:00:00.000Z,21,383
2026-01-10T15:00:00.000Z,0,383
2026-01-10T16:00:00.000Z,0,383
2026-01-10T17:00:00.000Z,0,383
2026-01-10T18:00:00.000Z,4,387
2026-01-10T19:00:00.000Z,0,387
2026-01-10T20:00:00.000Z,0,387
2026-01-10T21:00:00.000Z,0,387
2026-01-10T22:00:00.000Z,1,388
2026-01-10T23:00:00.000Z,11,399
2026-01-11T00:00:00.000Z,0,399
2026-01-11T01:00:00.000Z,4,403
2026-01-11T02:00:00.000Z,0,403
2026-01-11T03:00:00.000Z,0,403
2026-01-11T04:00:00.000Z,3,406
2026-01-11T05:00:00.000Z,7,413
2026-01-11T06:00:00.000Z,0,413
2026-01-11T07:00:00.000Z,6,419
2026-01-11T08:00:00.000Z,10,429
2026-01-11T09:00:00.000Z,9,438
2026-01-11T10:00:00.000Z,12,450
2026-01-11T11:00:00.000Z,0,450
2026-01-11T12:00:00.000Z,1,451
2026-01-11T13:00:00.000Z,0,451
2026-01-11T14:00:00.000Z,0,451
2026-01-11T15:00:00.000Z,0,451
2026-01-11T16:00:00.000Z,7,458
2026-01-11T17:00:00.000Z,4,462
2026-01-11T18:00:00.000Z,2,464
2026-01-11T19:00:00.000Z,10,474
2026-01-11T20:00:00.000Z,0,474
2026-01-11T21:00:00.000Z,0,474
2026-01-11T22:00:00.000Z,1,475
2026-01-11T23:00:00.000Z,8,483
